id,rowid,entity,text
1992,6646,1,us protests prompt calls for britain to tackle its own systemic racism //tco/ardoftdm
46,138,0,the black lives matter street mural outside trump tower in midtown manhattan was vandalized again on sunday according to policethis marks at least the fourth time the mural has been vandalized since it was created on july //tco/lfmzz
951,3308,1,the george floyd protests went global and stayed that wayat demonstrations across the world the dynamics were the same in many places solidarity with the united states and calls for changes at home //tco/czqvesdm
1608,5458,5,a philadelphia court supervisor who was captured on cellphone video taking down antiracism signs in a public area and saying black lives dont matter to him has been fired //tco/ugqpsvnl
241,333,1,antiracism protesters in england have pulled down a statue of a thcentury slave trader while demonstrating in solidarity with the us black lives matter movement //tco/mvwksdqlq
1499,5349,5,nbcblk the first hour of the convention brought repeated references to the black lives matter movement the disproportionate number of…
60,152,0,the black lives matter street mural in front of trump tower has been vandalized three times in one week according to the nypd the latest incident occurred saturday afternoon when two women were arrested after they were seen pouring paint on the mural //tco/hmpmjfe
1922,6576,1,pence said the leaders of the black lives matter movement push a political agenda of the radical left //tco/lohoupkr
1330,4728,5,some of the loudest voices speaking up against racism and police brutality have come from the sports world because of the huge vacuum that exists in leadership in the white house it is a tremendous opportunity professor kenneth shropshire says //tco/kfvfkikuo
1243,4258,5,i would be much more inclined to march with them carson said of the black lives matter movement if they were also concerned with all those people dying in other places around the country //tco/ncecjrexp
407,1613,2,trump campaign paying matt schlapp lobbying firm after clients bolt over his black lives matter comments //tco/lbvmoxxfq
411,1617,5,sen lindsey graham goes on fox news to explain the big difference between john lewis and #blm protesters //tco/kfepsupu
1153,4168,0,a las vegas man accused of conspiring in a plot to incite violence at a black lives matter rally as part of a boogaloo plot is being investigated for alleged child sex abuse //tco/qrhejsqle
907,3264,1,almost two months later protests for black lives are still going strong in cities and towns across america //tco/ssiyndneio
1954,6608,5,miss universe zozibini tunzi on the black lives matter movement you dont get to sit down and not do anything right now //tco/towbrofckx
434,1640,5,workplace tensions flare over whether employees can wear black lives matter masks //tco/naclmyx
1308,4706,5,the wnba says it will dedicate the season to addressing the nations long history of inequality implicit bias and racismplayers will wear warmup shirts with the words say her name and black lives matter //tco/timctcaqtr
1444,4995,0,shanegoldmacher new money has absolutely flooded into bail funds blackled groups and racial justice organizationsjust one data p…
1643,5493,0,community members join city workers in painting a giant black lives matter mural on th street near the white house on friday //tco/pnyhajkkq
261,353,5,canadian prime minister justin trudeau took a knee during a black lives matter demonstration in ottawa //tco/ahqlsxnaus
168,260,0,surfers around the world are paddling out to sea in support of the black lives matter movement to protest injustice and pay tribute to black lives lost to police brutality //tco/kwhameidy
426,1632,4,trump tells fox news the #blacklivesmatter sign on fifth avenue is like hes being prosecuted //tco/gwefiux
75,167,5,streaming platform twitch found itself in hot water for the second time in a week after it posted a video that was intended to support the black lives matter movement but featured an overwhelming number of white creators //tco/pveqaiiaei
1962,6616,5,the ceo of a san franciscobased skin care company apologized sunday for calling police on a man who was stenciling a black lives matter sign in chalk in front of his own home //tco/nmzaekvryl
1351,4902,5,the prime minister said there was no slavery in australia these pacific islanders tell a different story as the black lives matter movement offers a rare opportunity to make their family histories known //tco/jgqdtuvuo
1137,4152,1,a coalition of chicago civilrights groups is seeking a federal judges injunction to keep chicago from becoming the next city besieged by state violence //tco/wontgdi
980,3337,5,#blackouttuesday raised important questions about allyship vs performativity on social media //tco/itkfslizx
251,343,1,protesters have gathered in major cities across australia demanding justice over minority deaths in police custody in solidarity with the black lives matter movement //tco/tipynprwv
519,1725,0,nazitattooed man arrested for armed impersonation of a federal officer at #blacklivesmatter protest report //tco/vfhuakrhk
238,330,1,banksys piece is composed of a framed black figure with a candle and flowers surrounding it an american flag hanging overhead has been lit on fire by the candle beneath //tco/zcmivnosj
1229,4244,5,mota skates posted a venn diagram on instagram stating its ok to be all three showing overlaps between outraged by george floyds death not condoning looting or rioting and supporting good police officers skaters called them out //tco/btoxyjhu
1254,4269,1,a statue memorializing british slave trader edward colston has been pulled down by black lives matter protesters in bristol england //tco/jqeigyn
1262,4277,5,once again the oscars have sworn theyll do better on race—and once again its because of ava duvernays selma //tco/vcdnqtlu
1488,5338,1,a teenager from englewood cliffs new jersey says she received a nearly bill from the mayor after she held a black lives matter protest in the borough last month //tco/nxpiw
1943,6597,4,pence wouldnt say black lives matter in interview on juneteenth //tco/kqxkez
1972,6626,5,starbucks reverses policy allowing employees to wear black lives matter attire //tco/ekyhqmmo
696,2513,3,dc mayor bowser had city workers friday paint the words black lives matter on the street that leads to the white house where protesters have been demonstrating following george floyds death in police custody //tco/rdobfil
424,1630,0,watch enraged trump fan shrieks profanity after seeing drivers black lives matter display //tco/dedejdc
631,2448,1,thereval says the black lives matter mural on fifth avenue in new york city is particularly symbolic on the street where they have all of the great shops and where trump tower is //tco/orhzumebm
1240,4255,5,fedex has fired an employee who pulled a sick knee pose in front of black lives matter protesters //tco/igmtrnlbtq
1333,4731,5,new the nfl says it was wrong for not listening earlier to players protesting racial injustice — and encouraged them to speak out we the nfl believe black lives matter the leagues commissioner said //tco/bpsqvmyep
1112,4127,0,those topsyturvy partisan habits of swing voters have become more mysterious and unpredictable especially as the conversations on race have come to town //tco/cgiptlm
769,2867,0,defund karen on the insults acronyms and sloganeering of americas racial reckoning //tco/rdzqlfjq
204,296,3,last week dc mayor muriel bowser renamed a section of the street directly in front of the white house black lives matter plaza it was also painted in giant yellow lettersgoogle updated its maps to include the new black lives matter plaza nw name //tco/dxujiaf
1952,6606,4,rolling stone senior writer jamilsmith joins cbsn to discuss the protests against police violence and systemic racism — through the lens of the women who first put the words black lives matter into our political lexicon years agofull interview //tco/aeitouss //tco/mniezvkkt
1437,4988,0,s evangelina after arthur ashes statue in richmond virginia was vandalized with white lives matter graffiti i spoke to his nephew…
1633,5483,5,meetthepress tune in a nation on the brink of a turning point cofounder of the black lives matter movement aliciagarza joins for…
1903,6557,0,catholic priest in indiana suspended for comparing black lives matter to maggots //tco/mgmny
670,2487,1,counter protesters including a corrections officer mock george floyds death during a black lives matter marchi thought about the young children who were marching behind me says march organizer daryan fennalreporting from nbcphiladelphia //tco/bmkvjqepu
33,125,5,every nba player who restarted the leagues season on thursday kneeled during the national anthem wearing black lives matter shirts //tco/oatbastbq //tco/nfzpdomq
917,3274,5,aunt jemima the redskins lady antebellum the dixie chicks fair amp lovely — after this years black lives matter protests plenty of brands are finally ready to ditch names rooted in racist history but what does a name change really accomplish //tco/csayrpjnx
133,225,5,jason mraz is honoring juneteenth by donating all of the profits from his new album to black lives matter and other organizations working toward equality and justice //tco/zjvkjmfr
1726,5859,0,a driver hit black lives matter protesters it was a neighboring towns mayor protesters say //tco/ehulfvyh
302,1195,0,black mom told to take yearolds black lives matter chalk art to other neighborhood //tco/djtrsvthea
153,245,1,about twothirds support the recent black lives matter protests over police brutality and discrimination in the us and theres agreement on a wide variety of proposals on how to reform the nations police departments recent polls show //tco/hpdwhintbf
49,141,1,its been two months since george floyds death and protesters across america are still pounding the pavement heres why they refuse to quit //tco/fipwdusllv
1718,5851,4,trump lashes out at black lives matter accuses one member of treason //tco/sfmounthrr
1483,5333,3,watch portland mayor ted wheeler slams president trumps response to national protests amid a deadly shooting in portland that happened after trump supporters and black lives matter protesters clashed its you who have created the hate and division //tco/huwtscdmw
1149,4164,0,mark and patricia mccloskey a st louis couple who found national fame after they were filmed brandishing weapons at blm protesters who passed their mansion in a gated community reportedly have a long history of telling people to get off their lawn //tco/vgkbpydzz
1680,5813,5,from the magazine in portland the spotlight on the wall of moms underscored the constant presence of the white ally — for better or worse //tco/evocrze
1912,6566,5,nba reportedly plans to paint black lives matter on courts when season resumes //tco/cagugwec
934,3291,1,heres whats behind global black lives matter protests //tco/wiowtteop
1350,4901,1,bellakwai the blm movement has offered a moment for south sea islanders ssi descendants of pacific island laborers who helped make q…
911,3268,0,reforming defunding and abolishing the police are all different concepts heres what they each involve and why theres so much debate and confusion over them //tco/mucqbhj
344,1237,1,iowa activists chant black lives matter as governor signs ban on police chokeholds into law //tco/glnndva
315,1208,5,despite corporate messaging in support of black lives matter companies are banning ads in stories //tco/qnvxpaykr
220,312,0,eric michael tamir philando atatiana breonna and georgewe only knew their names after they died but you can find them all on a popular name planning website for prospective parentseach of these names was somebodys baby the site reads //tco/fxexnaqxx
110,202,1,new research suggests black lives matter protests across the us have not led to a jump in coronavirus cases //tco/xecvqpkdf
834,2932,0,the history behind the antiblack lives matter protests in merrick ny //tco/iixrxz
916,3273,1,what black lives matter protests in a conservative majoritywhite enclave of california tell us about a changing america //tco/ztjjuzbejt
800,2898,5,americas pop stars spent the spring trying to write the song for our moment its a black lives matter anthem that may prevail //tco/nevoqpudb
1461,5012,0,american voters support for the black lives matter movement has increased in the last weeks almost as much as it had in years according to new data from an online survey research firm //tco/rtkchcw
350,1243,4,republican party rebukes las vegas mayor pro tem for racially charged comments about blm //tco/dbwuwlxqq
1373,4924,1,bymikebaker it began with black lives matter chalk art at the end of a deadend street now police officials in a small town are thr…
271,363,5,we know thats it no intent to harm but to be frank this essentially does harm the message mental health advocate and black lives matter activist kenidra woods wrote we use hashtag to keep ppl updated pls stop using the hashtag for black images //tco/zoaobaq
1440,4991,5,nytgraphics in the print edition of tuesdays nytimes an page special section on the black lives matter protests that have swept ac…
262,354,0,police are searching for a cyclist who was filmed accosting people posting signs supporting black lives matterit shows how pernicious and how pronounced and how embedded racism is in our culture montgomery co md council member will jawando says //tco/yxpvamdhkw //tco/tfijwmtjqg
843,2941,1,we need to stand up and say that black lives matter romney said while marching //tco/secvnoc
1582,5432,1,an employee at a target store on long island new york says she was confronted by a customer who demanded she remove a black lives matter mask because they found it offensive //tco/ljhpyynt
1931,6585,1,this yearold boy is earning money by mowing his neighbors lawns – and hes giving all of it to the black lives matter movement //tco/lmeztxhdr //tco/mysipihcft
1955,6609,1,miss universe zozibini tunzi on the black lives matter movement you dont get to sit down and not do anything right now //tco/enyzqpef
1512,5362,1,as black lives matter protests continue across the country at least a dozen schools have rescinded student admissions offers over racist social media posts todayshow //tco/vwqtctydqb
472,1678,1,black family cuts texas vacation short after finding racist white lives matter sign on their front door //tco/zgsklyvta
1779,5912,5,perspective on his th birthday malcolm xs urgent message resonates at a time of racial inequity in the healthcare and criminal justice systems //tco/lvnbijbqqa
1189,4204,5,juan williams condemned his fox news cohosts for actively demonizing the black lives matter protesters while failing to mention other bad actors on the scene during the demonstrations //tco/qmpnyqsi
1565,5415,0,nbclatino the diversity of staff members has received greater scrutiny amid the black lives matter movement and as democrats represent…
382,1588,2,you won seattle cop tells protesters hes quitting the police force because of black lives matter //tco/enfmdagli
898,3255,1,today explained episode ⤵️the #blacklivesmatter protests are changing our language from karen to bipoc to black and white…
1346,4897,1,paintballs and pepper spray filled the air in front of the us courthouse in portland oregon as propolice demonstrators and black lives matter supporters clashed on saturday police officers watched from a distance and chose not to intervene //tco/mwfvgwds
296,1189,5,dolly parton says of course she supports black lives matter //tco/nenwdgh
1761,5894,5,japanese tennis player naomi osaka speaks out for black lives matter faces backlash //tco/lwsirgvk
1379,4930,1,its been more than a month since protests began in louisville following the killings of george floyd and breonna taylor demonstrations are still going on every day — and protesters say theyll continue until there is justice for breonna taylor //tco/jqohdgk
308,1201,1,guess who turned richmonds blm protests into riots this weekend //tco/pgkcptmhw
169,261,0,patrick hutchinson the black man seen carrying an injured white man to safety during a chaotic scene at protests in london tells cnn he did it to avoid catastrophe //tco/nootulgbb //tco/anteqg
1246,4261,5,crossfitaffiliated gyms across the country where owners pay yearly funds to use the regimes branding began divesting from the corporate structure this weekend after its ceo greg glassmans controversial tweets on the black lives matter movement //tco/pkuqxvm
1381,4932,0,after just day bristol removed the statue of jen reid a black lives matter protester that was raised on wednesday in place of a toppled memorial to the slave trader edward colston //tco/oaglswiwz
520,1726,0,nazitattooed man arrested for armed impersonation of a federal officer at #blm protest report //tco/vfhuakrhk
1605,5455,0,polite racism is a particularly insidious form because it bubbles up in everyday settings but easily goes unchecked experts say //tco/ypmedzgbad
378,1584,1,video milwaukee blm protesters shot at as they march through residential neighborhood //tco/zejkxie
1599,5449,0,polite racism is a particularly insidious form because it bubbles up in everyday settings but easily goes unchecked experts say //tco/kfyjamueo
126,218,1,it has been nearly a month since george floyds death in minneapolis which sparked the ongoing black lives matter demonstrations across the us and around the world heres a look at the latest headlines //tco/arcwsotbpv
998,3608,1,letsgomathias a blm protester was shot while marching through rural pa last night police confirm the protesters who are marching…
1317,4715,5,health officials and experts in the san francisco bay area say that while covid cases are rising they see little indication — at least so far — that the black lives matter protests are the cause kqedscience //tco/kxyulizwr
522,1728,0,woman posts video of herself saying kill all #blm protesters — and gets fired hours later //tco/hwtpfqmq
200,292,5,although starbucks publicly supports black lives matter on its social media channels and in a press release an internal memo to employees obtained by buzzfeed news explains that the company wont let baristas do the same //tco/abwyzdz
1534,5384,0,a husband and wife caught on video brandishing firearms at black lives matter protesters outside their st louis home have been charged with a felony //tco/wcjvpcv
322,1215,0,we dont see color trump supporters say as they tell their kids to fear black lives matter //tco/zhpmvmdzd
690,2507,1,black lives matter cofounder alicia garza says time and time again new police policies are passed such as minneapolis city council banning police chokeholds but that ultimately you need people to oversee those reforms and implement them //tco/ootfpylze
746,2844,0,the mccloskeys said they feared for their safety as one does to lay the groundwork to try to get away with violent conduct against people of color //tco/hbzqmahzp
416,1622,5,lolololololololwatch tiktok comedian trolls antiblack lives matter protester outside trump tower //tco/dhkcrwcn
1864,6518,4,while the president leads among americans who are skeptical of the black lives matter movement and who continue to downplay the impact of the virus all of those groups are outnumbered at the moment //tco/bcyldqxup
768,2866,0,johnhmcwhorter getting topical this time as a departure this ⁦ lexiconvalley⁩ is on defund black bipoc and karen what i think a…
908,3265,1,the protests arent over even if you arent seeing them on tv anymore in fact activists say the movement for black lives isnt going away any time soon //tco/vwsylkevg
1100,4115,4,the gop—including a black republican organization—plans to hold a first amendment demonstration during convention week in the same park where law enforcement rousted black lives matter protesters to clear the way for a trump photoop in june //tco/vacbyfjsq
178,270,0,immigrants are being forced to choose between jeopardizing their legal status or sitting out protests over george floyds death there is no blueprint for this so im trying to strike the balance between doing as much as i can and protecting my visa //tco/sxyaxouha
1470,5021,1,on friday breonna taylor would have turned to mark her birthday thousands of demonstrators gathered in downtown louisville the protesters sang happy birthday they chanted say her name and they marched around the city for hours //tco/fieltqroq
546,1752,4,mitt romney joins christian group marching in solidarity with black lives matter in washignton //tco/boteqrt
1033,3643,5,teams will wear special uniforms honoring sandra bland breonna taylor and others in the season that begins this month //tco/rfhpiwni
253,345,1,thousands of peaceful protesters have gathered in london and across europe for the second consecutive weekend protesting the death of george floyd and systemic racism in the united states and around the world //tco/sqfybjbvxg
1172,4187,4,marlownyc kamalaharris i promise you that donald trump and mike pence will never use the phrase black lives matter and that is wh…
1009,3619,1,six years ago on this day michael brown was shot and killed by a police officer in ferguson missouriheres how the work of protesters built the foundation for the mass movement weve seen unfold in the past two months //tco/fvyfqfqrd
703,2520,1,people are fed up says black lives matter organizer deray mckesson what you are seeing is people saying enough is enough //tco/uahoafvehj
86,178,1,three black lives matter roadway murals in vermont were defaced state police say //tco/jcgfxqcyq
1543,5393,0,new york citys black lives matter mural outside trump tower was vandalized for the second time in hours on saturday and the third time in the last week //tco/teojjkzu
194,286,5,tucker carlsons fox news show has once again become a nogo zone for some advertisers this time due to his comments about the black lives matter movement //tco/rejnqg
1846,6500,1,all black lives matter mural will become permanent on hollywood boulevard //tco/hkheosuwai
1819,6202,1,opinion rev sharpton is correct that washington needs to hear a clear message that black lives matter and that we have concrete policy demands for all branches of governmentbut that doesnt mean marching to washington is the best way to deliver it //tco/zmywienmbk
120,212,0,employees from a southern california sheriffs and district attorneys office were among three people who were arrested after multiple people were caught on a security camera vandalizing a black lives matter sign authorities say //tco/qpvtzxwgf
1368,4919,5,a classaction lawsuit says that whole foods began strictly enforcing its dress code policy once employees started wearing black lives matter apparel and that the company disciplined employees who refused to remove their black lives matter masks //tco/kfpvaeqw
1861,6515,3,rep pramila jayapal says barr targets black lives matter protesters when white men with swastikas storm a government building with guns there is no need for the president to activate you because theyre getting the presidents personal agenda done //tco/qnvedqdi //tco/qouwwpkhi
818,2916,5,americas pop stars spent the spring trying to write the song for our moment its a black lives matter anthem that may prevail //tco/ixxogdkwch
1619,5469,5,starbucks baristas will be allowed to wear symbols supporting the black lives matter movement in a hasty aboutface in company policy //tco/pyfgygv
536,1742,5,fox news host says everyone knows black lives matter — but gop must say it is wrong //tco/osvxyxiyt
102,194,1,im worried about black people like me getting hurt some skin is like chocolate some is like vanilla some is mixed together like mine but were all people yearold nolan davis said through a megaphone at the black lives matter march he organized //tco/szsolptf
470,1676,4,trump calls black lives matter protesters terrorists — and warns there is going to be retribution //tco/hidlwcle
1941,6595,1,us black lives matter protests inspire calls to defund the police in the uk //tco/thoits
1837,6491,1,new jersey teen behind black lives matter rally receives bill for thousands of dollars for police overtime //tco/pasgvplx
217,309,1,this isnt a new movement anyone who has been in america for long enough knows this isnt new but it is different sarasidnercnn says about protests sparked by the death of george floyd while on scene at his funeral //tco/rshymhmwt //tco/leospkidq
1285,4300,0,a single mom of two said she received a note tucked inside her door that warned payback is coming for her show of support she called police and later learned that she wasnt the only one receiving threats //tco/mcfhjhyg
1645,5495,0,everything in my store will be replaceable one shop owner wrote while lives are being senselessly lost on a way too regular basis is the way bigger issue nbcasianamerica //tco/ydfdznrf
527,1733,4,this is big top gop pollster is stunned by the sudden shift in public opinion on black lives matter //tco/wlfgwavh
958,3315,0,there are innumerable names innumerable families who must watch their loved ones die again and again //tco/hdozwpc
647,2464,3,if chosen as joe bidens running mate rep demings says she would partner with black lives matter to create advisory boards on police misconduct and substandard housing…education…lending other areas where we frequently see discrimination and racism //tco/iecujfwfya
1012,3622,0,david lacey husband of la da jackie lacey was charged with pointing a gun at black lives matter protesters //tco/qrrxbrvo
327,1220,0,iowa gov kim reynolds suv hits black lives matter protester //tco/qgcidzuwr
1145,4160,0,a sculpture of a black lives matter demonstrator went up overnight in england on the spot where a statue of british enslaver edward colston once stood //tco/mhyopzjwhr
1897,6551,0,face hate crime charge after allegedly vandalizing black lives matter mural in california //tco/hbqzrsmxd
1060,3670,5,on his fox news show tucker carlson unleashed a monologue telling viewers that a black lives matter mob was coming after them //tco/beseigodd
1911,6565,0,st louis man who pointed gun at protesters says he was scared for his life //tco/nrahvbgd
610,2427,4,boston globe columnist renée graham says president trumps idea of a winning strategy is to scare white people silly by painting protestors as violent anarchists because he has nothing else to hang this campaign on //tco/nxsqsymk
1893,6547,5,the rebuttal phase all lives matter is coded language for your discomfort host bryce michael wood tells cbsn the phrase didnt exist until black people began to say that black lives matter all lives matter is just a coded way of silencing the black voice and experience //tco/czbxowykc
1919,6573,0,majority agree with black lives matter and say major police reform is needed — cbs news poll //tco/jjsmwkffyo
1731,5864,5,europe said us influence had waned under trump then black lives matter protests rocked the continent //tco/owycrv
21,113,1,a black student was told to take off his black lives matter mask at his high school graduation ceremony //tco/fxxnjgg
1474,5025,0,jennydeluxe and now some exciting news from opinion i wrote about why this moment in the movement for black lives feels bigger ripe…
1590,5440,0,a sheriffs office employee was one of three men arrested after getting caught on video damaging a black lives matter sign on private property authorities say //tco/ybgv
1558,5408,5,nbcblk new york city has closed down a stretch of th ave at trump tower to begin painting a large black lives matter mural //…
1877,6531,0,black lives matter mural outside trump tower in new york city vandalized for the second time //tco/iyumpiicr
270,362,5,grindr is removing its ethnicity filter in what it says is a show of support for the black lives matter movement //tco/tixyaypj
585,2196,1,somewhere between and protestors showed up to a black lives matter demonstration in paris organized by the french activist assa traoré //tco/fxvsribqu
1559,5409,0,new york city has closed down a stretch of th ave at trump tower to begin painting a large black lives matter mural //tco/bzpmuxb
1975,6629,5,companies touting black lives matter face own workforce scrutiny //tco/tgnxtxlnc
1965,6619,1,my black friends matter these young students held signs with powerful messages at a kidfriendly protest in kansas city mo //tco/tuxxhzyfup //tco/qmkktgian
1484,5334,3,watch portland mayor ted wheeler slams president trumps response to national protests amid a deadly shooting in portland that happened after trump supporters and black lives matter protesters clashed its you who have created the hate and division //tco/mvgbbowrcr
845,2943,1,we need to stand up and say that black lives matter romney said while marching //tco/hgmfxkxdm
1568,5418,0,two accused of painting over a black lives matter mural charged with hate crime in california //tco/khdetwaofp
377,1583,1,watch students cheer trombone player as he drowns out mans rants about thug blm demonstrators //tco/dqlhfxo
117,209,3,democratic sen kamala harris has called the senate gops policing bill weakthere is nothing salvageable about it she says adding she plans to vote to stop it //tco/zkgqmdewgb //tco/mgnytode
1945,6599,1,us black lives matter protests inspire calls to defund the police in the uk //tco/jbdoudj
1625,5475,5,bts donates m to black lives matter supporters match donations next day //tco/innncior
1579,5429,5,terry crews faces backlash after tweeting about the black lives matter movement we must ensure #blacklivesmatter doesnt morph into #blacklivesbetter //tco/yrjvpcimm
198,290,5,carlsons fox news show has once again become a nogo zone for some advertisers this time due to his comments about the black lives matter movement //tco/dduyugkdg
763,2861,0,as pornhub declares a commitment to social justice it hosts videos with titles like white girl moans black lives matter //tco/rebiyuuot
707,2805,1,some people that think that just playing and seeing black lives matter on the floor is sufficient others think participating in protest and funding voter registration efforts—or going on strike—are appropriate //tco/avqijnrb
1021,3631,1,if black lives matter to you and you want to be an ally you have to take a stand against white solidarity //tco/mhzpcnagi
873,2971,2,floyds killer was the first white police officer to be charged by the state of minnesota for taking the life of a civilian //tco/aqzkjpqpm
